2452143.3437,8.5,0,,,Vis.,LJY,T,81,83,2001,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3458,8.3,0,,,Vis.,BHS,A,82,86,AAVSO,,,,V,,,,V2275 CYG,,STD,,,,
2452143.347,8.4,0,,,Vis.,BMU,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452143.3472,8.6,0,,,Vis.,KHL,,82,86,ALERT287,      =,,,V,,,,V2275 CYG,,STD,,,,
2452143.3472,8.4,0,,,Vis.,VOL,,82,86,PB,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452143.3486,8.3,0,,,Vis.,MUY,,8.1-8.6,,PB0801,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3632,8.3,0,,,Vis.,REP,K,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.364,8.1,0,,,Vis.,SPK,,,,,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452143.3646,8.3,0,,,Vis.,HBL,,81,82,,821012145,,,V,,,,V2275 CYG,,STD,,,,
2452143.372,8.4,0,,,Vis.,PUJ,,81,86,PB0801,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452143.38,8.4,0,,,Vis.,HBA,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3819,8.2,0,,,V,RZD,,108,,AAVSO,,,,V,,,,V2275 CYG,AFOEV,STD,,,,
2452143.382,8.3,0,,,Vis.,ABG,J,,,,Used CONVERTV at HQ,,,V,,,,V2275 CYG,,STD,,,,
2452143.3854,8.4,0,,,Vis.,CVJ,,81,86,2059+48,,,,V,,,,V2275 CYG,,STD,,,,
2452143.39,7.8,0,,,Vis.,OJR,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3923,8.4,0,,,Vis.,LCR,A,82,86,AAVSO ST,,,,V,,,,V2275 CYG,,STD,,,,
2452143.3923,8.5,0,,,Vis.,OCR,,83,86,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4,8.7,0,,,Vis.,VDE,,,,,,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452143.4007,8.7,0,,,Vis.,BOS,A,8.6, 9.0,,AAVSO,,,V,,,,V2275 CYG,KNVWS,STD,,,,
2452143.4159,8.8,0,,,Vis.,OCR,,86,92,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4188,8.5,0,,,Vis.,HHU,,8.1-8.6,,PB0801,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4236,8.3,0,,,Vis.,QFI,,,,,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4243,8.1,0,,,Vis.,FAA,,81,86,PAB2001,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4521,8.7,0,,,Vis.,ONJ,,86,92,PB01,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4541,8.3,0,,,Vis.,CPT,,81,82,PB0801,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4687,8.4,0,,,Vis.,BXV,A,82,86,AAVSO ST,,,,V,,,,V2275 CYG,,STD,,,,
2452143.4965,8.0,1,,,Vis.,AAT,,80,,AAVSO ST,,,,V,,,,V2275 CYG,,STD,,,,
2452143.5639,8.3,0,,,Vis.,KMA,,81,82,PB8/01,,,,V,,,,V2275 CYG,,STD,,,,
